feature,importance
TRI,0.17522901826359688
slope,0.14097889221969215
elv,0.09543428676417563
riverProx,0.08141387674072853
roadProx,0.06375167944019335
TPI,0.039568803126205414
aspect,0.03744628549915626
flowAcc,0.031301152902640676
lithology_686,0.030039678556965547
lithology_547,0.02799733640874687
planCurv,0.0265888155596861
profCurv,0.026564137304824872
TWI,0.026037032439624963
SPI,0.02593440574391937
lithology_278,0.021194588553787107
soil_9,0.02095704587973745
soil_3,0.019045164737771597
lithology_490,0.014766746002224993
lithology_110,0.011700553234902388
lithology_808,0.010582755288287329
lithology_237,0.008998262212376295
soil_8,0.007953403861185756
lithology_17,0.007334129999472722
lithology_316,0.0054833476861578636
soil_5,0.005114280433673446
soil_12,0.0048783250802165775
lithology_53,0.00430688469982287
soil_1,0.0037473841520330614
soil_10,0.0036791251702845027
lithology_785,0.0033465946006748927
lithology_835,0.002647623328303883
soil_17,0.0023972475938960056
lithology_443,0.0016322685788897056
lithology_232,0.0014985436824006796
soil_2,0.001370859835471399
soil_16,0.0011131127864303658
lithology_315,0.0010621630087733326
lithology_151,0.0010114321090751693
lithology_792,0.0007433703978683187
lithology_679,0.0006348448399350813
lithology_82,0.0005520761523046703
soil_7,0.0005096773168852823
soil_6,0.0004855711916787882
soil_15,0.0004805115753351124
lithology_165,0.0004589597714222891
lithology_816,0.00035314362601363946
lithology_404,0.00030824944071869767
lithology_424,0.00021557444855348242
soil_14,0.00018431736618847308
lithology_197,0.00017529457008131402
soil_0,0.00014641702034677058
lithology_298,0.00011004886751140017
soil_-99999,0.00010977874653004625
lithology_0,0.00010570714869176997
lithology_10,6.744578686740944e-05
lithology_6,6.209625013430008e-05
soil_4,5.848214020330184e-05
lithology_360,4.260124146185332e-05
lithology_803,3.690392520596331e-05
soil_13,1.9297603013904616e-05
