fid,aspect,elv,flowAcc,lithology,planCurv,profCurv,riverProx,roadProx,slope,soil,SPI,TPI,TRI,TWI,xcoord,ycoord
1,252.375762939453,53.3001098632812,6.2786340713501,110,0.003340279683471,0.003340279683471,5580.08056640625,1,16.7764263153076,8,211.958877563477,-3.91988134384155,5.941481590271,-1.67226147651672,3358890.0828,495994.560900003
2,77.6002731323242,232.78450012207,6.54316520690918,110,0.004722304176539,0.004722304176539,0,51.400390625,11.5632486343384,8,0.346307933330536,0.983389377593994,4.01926136016846,4.88981008529663,3353504.5794,496462.816899999
3,175.150177001953,275.270812988281,7.76028108596802,110,-0.004334256052971,-0.004334256052971,0,58,32.764518737793,8,-5.26661777496338,-8.8469409942627,13.4806127548218,8.99222183227539,3353539.4901,496804.188999997
4,127.944580078125,275.214691162109,40.0509147644043,110,-0.006938578560948,-0.006938578560948,9838.216796875,56.612720489502,18.8894653320312,8,-102.499496459961,-4.50337982177734,6.63601493835449,10.6420459747314,3354232.2708,497161.603200004
5,151.408645629883,177.213729858398,8.54891967773438,110,0.004282790701836,0.004282790701836,9253.869140625,47.9270286560059,17.4377536773682,8,109.533935546875,0.334186464548111,6.32259130477905,2.74733352661133,3355002.7828,497206.2561
6,185.133728027344,123.356948852539,6.97917413711548,110,-0.003424375783652,-0.003424375783652,8424.8740234375,31.0161247253418,28.314079284668,8,4.46863508224487,-1.32849144935608,10.349084854126,2.30637979507446,3356182.8647,497290.4001
7,163.407684326172,160.668655395508,6.4095025062561,110,0.001719298888929,0.001719298888929,8730,37.576587677002,23.3252124786377,8,15.5488157272339,-3.60963892936706,8.67897129058838,0.93835324048996,3355821.2173,497329.199699997
8,169.543701171875,322.424011230469,3.42412328720093,110,0.004656299483031,0.004656299483031,9754.6142578125,64.4127349853516,20.1571998596191,8,5.70925664901733,4.91483306884766,7.65486192703247,0.970140993595123,3354670.5856,497597.453200002
9,131.031997680664,212.749145507812,3.58962249755859,110,-0.00358660123311,-0.00358660123311,9991.44140625,74.2024230957031,27.4190044403076,8,3.27686810493469,1.11061096191406,10.2773418426514,1.51889622211456,3355836.2228,499197.394099999
10,220.518661499023,212.91650390625,5.85426092147827,110,0.000890396011528,0.000890396011528,10204.6318359375,81.8351974487305,16.2790603637695,8,-17.6688499450684,2.31187963485718,5.66739988327026,8.6605863571167,3355582.9261,499238.578499998
11,82.1476516723633,245.942779541016,3.11352443695068,110,-0.001359071698971,-0.001359071698971,9869.2705078125,68.6221542358398,28.1895656585693,8,-4.15323162078857,2.07894968986511,10.2898359298706,8.01183032989502,3356269.2096,499403.6268
12,64.0438385009766,115.751907348633,5.79871654510498,110,0.004829502198845,0.004829502198845,9577.4736328125,52.801513671875,24.9877490997314,8,-1.33689534664154,-8.42762184143066,10.961238861084,8.68407344818115,3356855.2466,499639.6083
