fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_232,lithology_237,lithology_243,lithology_278,lithology_307,lithology_315,lithology_316,lithology_360,lithology_375,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_481,lithology_488,lithology_490,lithology_547,lithology_573,lithology_591,lithology_679,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_15,soil_16,soil_17
12,0.17791553840388882,0.03885874420442081,0.002558380749006287,0.4948124949386429,0.4948124949386429,0.2361121329636688,0.2088076848275967,0.2803773218190522,0.25900563797890686,0.5616464945839904,0.006999361776479433,0.731676768777327,3356855.2466,499639.6083,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
13,0.12398346137738181,0.03720905567198385,0.007647413933951989,0.49092177564349526,0.49092177564349526,0.2494115573771281,0.25361764262013164,0.23704206275254627,0.2589055854221843,0.562843891796362,0.0047559276139732265,0.7785440451978711,3356407.6687,499942.1279,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
14,0.996389954745146,0.03177814866844083,0.005081224555195088,0.4902466345722019,0.4902466345722019,0.24707591540601626,0.2380971051074909,0.2116771681638176,0.25899417763318333,0.5627609014707833,0.004241950825965715,0.7683165713007323,3356532.636,499958.380100001,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
15,0.0606503202090302,0.042402148759416225,0.0030357484500129254,0.49337798895501284,0.49337798895501284,0.2522085256529397,0.2724069550989254,0.28037925224815125,0.2589121074319436,0.5630519596751595,0.005763451811174882,0.7761961116103364,3356286.3589,499989.7737,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
16,0.20343788097414053,0.047031786452216236,0.0991128273966571,0.47884083396145716,0.47884083396145716,0.2566373496632862,0.29479512872984076,0.10863533504754243,0.2593118943249614,0.5606400431762191,0.002471205864288297,0.6065122007235023,3356113.9452,500040.703899999,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
17,0.41187825444113096,0.04603288655704266,0.013190983297638901,0.48715981935003977,0.48715981935003977,0.25694303070340585,0.29000834349745097,0.23338321323613076,0.2584151401945295,0.560062249537241,0.00585603870579166,0.8097458486217735,3356138.6919,500093.608399998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
18,0.40842865281609125,0.0675136217114672,0.02572874253235079,0.484022830840592,0.484022830840592,0.27570785492176086,0.34649412898852694,0.14105275205860784,0.26048839196124995,0.5626918147714599,0.0027771395814456014,0.43761284707699233,3355685.5236,500776.2218,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
19,0.33447272331125005,0.05734845026395148,0.0018407273555879167,0.49110234249049606,0.49110234249049606,0.2727267365100215,0.32915773277238514,0.264616547936611,0.2590279606038791,0.5641656490931185,0.005356511184560432,0.45047679740807833,3355883.9173,500782.9678,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
20,0.5045660519082822,0.03468849350591868,0.00106149749152523,0.4909942005012024,0.4909942005012024,0.2542992761110881,0.19764977308064396,0.25130499524826316,0.2589942474796768,0.5646522590920019,0.005031947646624284,0.6985714951377267,3356886.4191,500815.697900003,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
21,0.5249043696621212,0.03541258233882005,0.003179833379724803,0.49721890552721365,0.49721890552721365,0.26584897329498014,0.2810255520288296,0.1333836291330041,0.25879899061130407,0.5636254340652986,0.0026762141648641793,0.8152765796447614,3356262.6062,500835.049199997,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
