fid,aspect,elv,flowAcc,planCurv,profCurv,riverProx,roadProx,slope,SPI,TPI,TRI,TWI,xcoord,ycoord,lithology_0,lithology_6,lithology_10,lithology_11,lithology_17,lithology_53,lithology_57,lithology_79,lithology_82,lithology_110,lithology_151,lithology_165,lithology_197,lithology_229,lithology_232,lithology_237,lithology_243,lithology_278,lithology_298,lithology_307,lithology_315,lithology_316,lithology_360,lithology_404,lithology_424,lithology_427,lithology_429,lithology_434,lithology_443,lithology_488,lithology_490,lithology_547,lithology_570,lithology_573,lithology_591,lithology_629,lithology_679,lithology_685,lithology_686,lithology_785,lithology_792,lithology_803,lithology_808,lithology_816,lithology_835,soil_-99999,soil_0,soil_1,soil_2,soil_3,soil_4,soil_5,soil_6,soil_7,soil_8,soil_9,soil_10,soil_11,soil_12,soil_13,soil_14,soil_15,soil_16,soil_17
56,0.32319896196998327,0.2029063339319126,0.08354026998729387,0.4870989463828186,0.4870989463828186,0.5080675045429639,0.06906372707476696,0.03734824285009673,0.2601239095204457,0.5639164516224315,0.000747713417292744,0.5488605057918043,3495838.0349372,467449.034585713,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
57,0.6764021543955189,0.0021196456139543855,0.003101177374597903,0.4677868202805618,0.4677868202805618,0.7697017774135488,0.020164468561089697,0.02164157996774578,0.25892068171748317,0.5640826875414064,0.0004902118394541286,0.7316475480817557,3511255.47003927,378250.237764395,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
58,0.7316549982959472,0.27417646837050064,0.01355521992876039,0.4810462994121432,0.4810462994121432,0.20378912558418133,0.014258432290801435,0.07339250983411898,0.25904773756010874,0.562718025710096,0.001975580691980166,0.5255329423936108,3413431.81720013,528436.443322574,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
59,0.003129925110763325,0.33248380680118467,0.00203542143936408,0.4927191520901081,0.4927191520901081,0.3705443082224035,0.32151468602182637,0.16204385198969182,0.25906522102496105,0.5654089307250508,0.0032507889942107173,0.3611128298625922,3504955.64748566,537776.09599205,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
60,0.6332276425934796,0.6345877137407981,0.014442717120541638,-0.3351830892593393,-0.3351830892593393,0.2071804348726285,0.12881243435160336,0.0017047438390974832,0.2591935460635758,0.5644541290534151,0.00044458750359438373,0.4204444901037017,3521905.3901539,575106.769121712,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
61,0.5614692397557697,0.22940312397806437,0.00046579572151925924,0.5012580956769987,0.5012580956769987,0.23961782286341063,0.012505472648238885,0.10836051701616119,0.2590167622785475,0.5655641583612058,0.0021467171044590797,0.42057433553682244,3491613.36144725,596640.052273962,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,0.6214270454125402,0.20098902886704564,0.000604984750200644,0.4935197243313303,0.4935197243313303,0.4108184653786188,0.2775257122068435,0.2442859764953917,0.25898914705947673,0.5670229250940428,0.0051551358791143125,0.6864281760142241,3459220.35905066,440550.9231025,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
63,0.673748242962098,0.23725738887691383,0.0008648065075442485,0.4998943142015621,0.4998943142015621,0.2891033388256571,0.0846316557374112,0.13734201689786726,0.25898823976669993,0.5641161160064295,0.00288287124639369,0.7386044702778745,3421195.06604065,575455.557578594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
64,0.8224833876199391,0.13623210306275418,0.0006781677742887836,0.4941004678656851,0.4941004678656851,0.07732121499125125,0.20141188969204812,0.1542010333436481,0.25899687932753757,0.5662499077921775,0.0029855980523102238,0.6857401761196769,3441451.95969012,630942.077033228,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
65,0.19552792524556128,0.18138599684782764,0.0012514898985556177,0.49437479308546634,0.49437479308546634,0.05769243917917526,0.0,0.19196493461205438,0.2593686018541208,0.5651527532541921,0.003794056519311234,0.25813969783127605,3499139.79055005,622229.642895208,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
66,0.07206425248104772,0.016983453503410743,0.0012005625878259867,0.49028408017972214,0.49028408017972214,0.152657766277389,0.19474036528793687,0.12307062268793591,0.25907238666022914,0.5649673975996297,0.002599372792616066,0.3321504223104895,3533036.15600576,655081.013436082,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
67,0.43208558915239953,0.12279913466889496,0.0009534955697664367,0.4747347506914394,0.4747347506914394,0.27098025941358933,0.028789759688929384,0.08142941703910556,0.2589904664774475,0.5647906901839996,0.001621687043988588,0.6898799974245228,3387872.61145904,593767.001156887,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
68,0.945831687214188,0.009295385061277224,6.751556454438767e-05,0.4961393485724913,0.4961393485724913,0.22496056505129433,0.02305895112093531,0.017311222645968197,0.2588890081311804,0.5648454425684234,0.00038630827030791806,0.6594159935190891,3425850.01281947,683073.933985881,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
